strain	accession	segment	date	host	country	subtype	virus
BRdg335	AB517659	NA	XXXX-XX-XX	Dog	Brazil	NA	Rabies_lyssavirus
BRmk1358	AB810256	NA	XXXX-XX-XX	Monkey	Brazil	NA	Rabies_lyssavirus
BV9901PJ	KC171645	NA	1999-01-18	Raccoon	South_Korea	NA	Rabies_lyssavirus
CA04148	JQ685903	NA	2004-XX-XX	Bat	USA	NA	Rabies_lyssavirus
CA100	JQ685909	NA	2005-XX-XX	Bat	USA	NA	Rabies_lyssavirus
CA982	JQ685894	NA	1994-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
CAN/1991/brain	LT993240	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
CAN/1994/brain	LT993241	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
CAN/1996/brain	LT993242	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
CAR_11/001h	KF977826	NA	2011-09-XX	Human	Central_African_Republic	NA	Rabies_lyssavirus
CASK2	JQ685970	NA	1974-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
CH/GDZQ/2015	KY451767	NA	2015-XX-XX	Dog	China	NA	Rabies_lyssavirus
CHN0802D	JQ970480	NA	2008-XX-XX	Dog	China	1	Rabies_lyssavirus
CJS0621D	JQ970481	NA	2006-XX-XX	Dog	China	1	Rabies_lyssavirus
CJS0636D	JQ970482	NA	2006-XX-XX	Dog	China	1	Rabies_lyssavirus
CJS0848D	JQ970483	NA	2008-XX-XX	Dog	China	1	Rabies_lyssavirus
CJX0903D	JQ970484	NA	2009-XX-XX	Dog	China	1	Rabies_lyssavirus
CJX0906D	JQ970485	NA	2009-XX-XX	Dog	China	1	Rabies_lyssavirus
CNIM1701	KY649620	NA	XXXX-XX-XX	Cattle	NA	NA	Rabies_lyssavirus
CNIM1702	MF172976	NA	XXXX-XX-XX	Cattle	NA	NA	Rabies_lyssavirus
CNIM1703	MH267792	NA	2017-XX-XX	Sheep	China	NA	Rabies_lyssavirus
CNM1101C	KC193267	NA	2011-XX-XX	Cattle	China	NA	Rabies_lyssavirus
CNM1103C	KC252633	NA	2011-XX-XX	Cattle	China	NA	Rabies_lyssavirus
CNM1104D	KC252634	NA	2011-XX-XX	Dog	China	NA	Rabies_lyssavirus
CO_Coyot_2010	JQ685917	NA	2010-XX-XX	Coyote	USA	NA	Rabies_lyssavirus
CQ92	GU345746	NA	1992-XX-XX	Dog	China	NA	Rabies_lyssavirus
CQH1202D/China/2012	KM272192	NA	2012-XX-XX	Dog	China	NA	Rabies_lyssavirus
CSD0708D	JQ970486	NA	2007-XX-XX	Dog	China	1	Rabies_lyssavirus
CSX0904D	JQ970487	NA	2009-XX-XX	Dog	China	1	Rabies_lyssavirus
CTMZZ11	KY780299	NA	2017-01-23	Human	China	1	Rabies_lyssavirus
CTN181	EF564174	NA	1956-XX-XX	Unknown	China	1	Rabies_lyssavirus
CTN181_3	KU946961	NA	2009-XX-XX	Unknown	China	NA	Rabies_lyssavirus
CTNCEC25	KJ466147	NA	XXXX-XX-XX	Unknown	China	NA	Rabies_lyssavirus
CTN_1	FJ959397	NA	1956-XX-XX	Unknown	China	NA	Rabies_lyssavirus
CTN_1_31	HQ317918	NA	1956-XX-XX	Human	China	NA	Rabies_lyssavirus
CVS	LC325820	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
CVS_11	GQ918139	NA	XXXX-XX-XX	Unknown	India	NA	Rabies_lyssavirus
CVS_N2c	HM535790	NA	XXXX-XX-XX	Unknown	USA	NA	Rabies_lyssavirus
CYN1009D	JQ730682	NA	2010-XX-XX	Dog	China	NA	Rabies_lyssavirus
ChDg	MG458321	NA	XXXX-XX-XX	Dog	China	NA	Rabies_lyssavirus
Coati_3639	JQ685963	NA	2009-XX-XX	Raccoon	Mexico	NA	Rabies_lyssavirus
D01	FJ712193	NA	2008-XX-XX	Dog	China	NA	Rabies_lyssavirus
D02	FJ712194	NA	2008-XX-XX	Dog	China	NA	Rabies_lyssavirus
DRV	DQ875051	NA	XXXX-XX-XX	Unknown	China	1	Rabies_lyssavirus
DRV_AH08	HQ450385	NA	2008-XX-XX	Dog	China	NA	Rabies_lyssavirus
DRV_Mexico	HQ450386	NA	XXXX-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
DRV_NG11	KC196743	NA	2011-XX-XX	Dog	Nigeria	NA	Rabies_lyssavirus
EF	JQ685920	NA	1984-XX-XX	Bat	USA	NA	Rabies_lyssavirus
EPHVAC	JQ944709	NA	2008-XX-XX	Unknown	Ethiopia	NA	Rabies_lyssavirus
ERA	AB781935	NA	XXXX-XX-XX	Unknown	India	NA	Rabies_lyssavirus
ERA_VC	FJ913470	NA	2007-03-XX	Unknown	China	NA	Rabies_lyssavirus
ERA__Evelyn_Rokitniki_Abelseth	EF206707	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
F02	FJ712195	NA	2008-XX-XX	Badger	China	NA	Rabies_lyssavirus
F04	FJ712196	NA	2008-XX-XX	Badger	China	NA	Rabies_lyssavirus
FJ008	FJ866835	NA	2008-11-XX	Dog	China	NA	Rabies_lyssavirus
FJ009	FJ866836	NA	2008-11-XX	Dog	China	NA	Rabies_lyssavirus
FJDRV	JN609295	NA	2008-XX-XX	Dog	China	NA	Rabies_lyssavirus
FL1010	JQ685916	NA	2002-XX-XX	Bat	USA	NA	Rabies_lyssavirus
FL1078	JQ685921	NA	2001-XX-XX	Bat	USA	NA	Rabies_lyssavirus
FL385	JQ685905	NA	2003-XX-XX	Bat	USA	NA	Rabies_lyssavirus
FL769	JQ685900	NA	2003-XX-XX	Bat	USA	NA	Rabies_lyssavirus
FluryLEP	DQ099524	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Flury_HEP	GU565704	NA	1948-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Flury_LEP	GU565703	NA	1948-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Flury_LEP_C	FJ577895	NA	XXXX-XX-XX	Unknown	China	NA	Rabies_lyssavirus
GD_SH_01	JX088694	NA	XXXX-XX-XX	Swine	China	NA	Rabies_lyssavirus
GER/2001/brain	LT993233	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
GER/2002/cellculture	LT993244	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
GER/2004/brain	LT993234	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
GX074	MG201923	NA	2003-02-12	Dog	China	NA	Rabies_lyssavirus
GX4	GU358653	NA	1994-XX-XX	Dog	China	NA	Rabies_lyssavirus
GXBH2011	MG201922	NA	2012-05-08	Dog	China	NA	Rabies_lyssavirus
GXHXN	KC169986	NA	2009-12-16	Cow	China	NA	Rabies_lyssavirus
GXN119	MG201920	NA	2010-10-09	Dog	China	NA	Rabies_lyssavirus
GXNNSL	MG201919	NA	2011-12-06	Dog	China	NA	Rabies_lyssavirus
Gra_01.06_7_F	LM645051	NA	2007-01-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_01.09_7_S	LM645039	NA	2009-01-XX	Sheep	Greenland	NA	Rabies_lyssavirus
Gra_01.10_7_F	LM645043	NA	2010-01-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_01.11_7_F	LM645044	NA	2011-03-XX	Sheep	Greenland	NA	Rabies_lyssavirus
Gra_01.13_2_F	LT598539	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Gra_01.14_3_F	LT598543	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Gra_02.06_7_F	LM645052	NA	2006-02-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_02.07_3_F	LM645020	NA	2007-01-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_02.08_7_F	LM645056	NA	2008-04-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_02.09_7_S	LM645040	NA	2009-01-XX	Sheep	Greenland	NA	Rabies_lyssavirus
Gra_02.10_5_F	LM645033	NA	2010-05-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_02.13_2_F	LT598538	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Gra_02.14_4_F	LT598540	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Gra_03.06_3_F	LM645025	NA	2006-02-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_03.08_7_F	LM645041	NA	2008-04-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_03.09_7_F	LM645042	NA	2009-03-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_03.10_2_F	LM645019	NA	2010-06-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_03.13_1_F	LT598541	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Gra_03.14_4_F	LT598542	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
Gra_04.06_3_F	LM645021	NA	2006-02-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_04.07_7_F	LM645053	NA	2007-01-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_05.06_3_F	LM645026	NA	2006-02-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_05.07_7_F	LM645045	NA	2007-02-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_05.10_5_F	LM645032	NA	2010-06-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_06.06_7_C	LM645046	NA	2006-03-XX	Cat	Greenland	NA	Rabies_lyssavirus
Gra_06.10_6_F	LM645036	NA	2010-09-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_07.06_1_F	LM645015	NA	2006-03-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_07.09_6_F	LM645034	NA	2009-05-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_07.10_6_F	LM645035	NA	2010-09-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_08.06_3_F	LM645023	NA	2006-03-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_09.06_3_F	LM645028	NA	2006-03-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_09.07_4_F	LM645029	NA	2007-04-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_10.06_3_F	LM645024	NA	2006-03-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_10.07_4_F	LM645030	NA	2007-05-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_10.08_6_F	LM645037	NA	2008-11-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_13.08_7_F	LM645047	NA	2008-12-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_13.09_6_F	LM645038	NA	2009-12-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_14.06_1_F	LM645016	NA	2006-04-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_15.07_7_S	LM645054	NA	2007-10-XX	Sheep	Greenland	NA	Rabies_lyssavirus
Gra_16.06_4_F	LM645031	NA	2006-05-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_18.05_7_F	LM645048	NA	2005-11-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_21.05_1_F	LM645017	NA	2005-12-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_21.06_7_F	LM645055	NA	2006-09-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_23.06_2_F	LM645018	NA	2006-11-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_24.06_3_D	LM645022	NA	2006-11-XX	Dog	Greenland	NA	Rabies_lyssavirus
Gra_25.06_3_F	LM645027	NA	2006-11-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_3a.07_7_F	LM645049	NA	2007-01-XX	Fox	Greenland	NA	Rabies_lyssavirus
Gra_3b.07_7_F	LM645050	NA	2007-01-XX	Fox	Greenland	NA	Rabies_lyssavirus
HEP_Flury	AB085828	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
HN10	EU643590	NA	2006-XX-XX	Unknown	China	1	Rabies_lyssavirus
H_08_1320	AB569299	NA	2008-11-01	Human	Sri_Lanka	NA	Rabies_lyssavirus
H_1413_09	AB635373	NA	2009-11-XX	Civet	Sri_Lanka	NA	Rabies_lyssavirus
IGU_R201_Nilgai	KY775603	NA	2014-XX-XX	Antelope	India	NA	Rabies_lyssavirus
IGU_R202_Mongoose	KY775604	NA	2014-XX-XX	Mongoose	India	NA	Rabies_lyssavirus
IMDRV_13	KJ564280	NA	2013-09-20	Deer	China	NA	Rabies_lyssavirus
IP_1400/10	KM594030	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_1586/10	KM594038	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_163/10	KM594031	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_1770/12	KM594024	NA	2012-XX-XX	Monkey	Brazil	NA	Rabies_lyssavirus
IP_230/10	KM594027	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_2990/13	KM594041	NA	2013-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_2991/13	KM594042	NA	2013-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_2992/13	KM594040	NA	2013-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_3176/09	KM594037	NA	2009-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_3208/06	KM594029	NA	2006-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_346/10	KM594028	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_350/10	KM594034	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_4005/12	KM594043	NA	2012-XX-XX	Cattle	Brazil	NA	Rabies_lyssavirus
IP_412/10	KM594035	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_4431/10	KM594033	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_497/10	KM594032	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_512/09	KM594026	NA	2009-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_5402/07	KM594025	NA	2007-XX-XX	Monkey	Brazil	NA	Rabies_lyssavirus
IP_542/10	KM594036	NA	2010-XX-XX	Bat	Brazil	NA	Rabies_lyssavirus
IP_6634/08	KM594023	NA	2008-XX-XX	Monkey	Brazil	NA	Rabies_lyssavirus
IP_7841/09	KM594039	NA	2009-XX-XX	Fox	Brazil	NA	Rabies_lyssavirus
InDRE3944	KT006769	NA	2013-10-29	Dog	Mexico	NA	Rabies_lyssavirus
J	GU345747	NA	1986-XX-XX	Human	China	NA	Rabies_lyssavirus
JX08_45	GU647092	NA	2008-10-XX	Badger	China	NA	Rabies_lyssavirus
JX08_45CC	JQ946087	NA	2011-XX-XX	Unknown	China	NA	Rabies_lyssavirus
JX09_17_fb_	KC762941	NA	2009-01-XX	Badger	China	NA	Rabies_lyssavirus
JX09_18	KF726852	NA	2009-01-30	Badger	China	NA	Rabies_lyssavirus
JX10_37	KF726853	NA	2010-11-30	Badger	China	NA	Rabies_lyssavirus
JZ13_Lv	KJ004416	NA	2013-12-01	Human	China	NA	Rabies_lyssavirus
LAT/2015/brain1	LT993237	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
LAT/2015/brain2	LT993238	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
LB19	MG201921	NA	2012-03-05	Dog	China	NA	Rabies_lyssavirus
Lao2	AB981663	NA	2011-11-04	Dog	Laos	NA	Rabies_lyssavirus
Lao4	AB981664	NA	2011-10-18	Dog	Laos	NA	Rabies_lyssavirus
MA.2003.5142	MG562518	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0002	MF143191	NA	2013-01-03	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0025	MF143192	NA	2013-02-04	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0034	MF143193	NA	2013-02-13	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0052	MF143194	NA	2013-02-28	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0064	MF143195	NA	2013-03-21	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0067	MF143196	NA	2013-03-22	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0098	MF143197	NA	2013-04-12	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0101	MF143198	NA	2013-04-17	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0102	MF143199	NA	2013-04-17	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0109	MF143200	NA	2013-04-25	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0110	MF143201	NA	2013-04-26	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0113	MF143202	NA	2013-04-30	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0157	MF143203	NA	2013-06-06	Fox	USA	NA	Rabies_lyssavirus
ME.2013.0158	MF143204	NA	2013-06-10	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0187	MF143205	NA	2013-06-25	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0233	MF143206	NA	2013-07-19	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0247	MF143207	NA	2013-07-31	Fox	USA	NA	Rabies_lyssavirus
ME.2013.0332	MF143208	NA	2013-08-19	Raccoon	USA	NA	Rabies_lyssavirus
ME.2013.0425	MF143209	NA	2013-10-11	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0444	MF143210	NA	2013-10-28	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0491	MF143211	NA	2013-12-20	Skunk	USA	NA	Rabies_lyssavirus
ME.2013.0498	MF143212	NA	2013-12-31	Skunk	USA	NA	Rabies_lyssavirus
ME.2014.0038	MF143213	NA	2014-02-27	Raccoon	USA	NA	Rabies_lyssavirus
ME.2014.0079	MF143214	NA	2014-04-22	Skunk	USA	NA	Rabies_lyssavirus
ME.2014.0084	MF143215	NA	2014-05-02	Raccoon	USA	NA	Rabies_lyssavirus
ME.2014.0090	MF143216	NA	2014-05-07	Skunk	USA	NA	Rabies_lyssavirus
ME.2014.0091	MF143217	NA	2014-05-08	Raccoon	USA	NA	Rabies_lyssavirus
ME.2014.0095	MF143218	NA	2014-05-13	Raccoon	USA	NA	Rabies_lyssavirus
ME.2014.0103	MF143219	NA	2014-05-22	Raccoon	USA	NA	Rabies_lyssavirus
ME.2014.0137	MF143220	NA	2014-06-13	Fox	USA	NA	Rabies_lyssavirus
ME.2014.0169	MF143221	NA	2014-06-26	Raccoon	USA	NA	Rabies_lyssavirus
ME.2014.0197	MF143222	NA	2014-07-11	Raccoon	USA	NA	Rabies_lyssavirus
MEXSK13938	JQ685954	NA	2007-XX-XX	Skunk	Mexico	NA	Rabies_lyssavirus
MEXSK3636	JQ685975	NA	2009-XX-XX	Skunk	Mexico	NA	Rabies_lyssavirus
MEXSK3644	JQ685929	NA	2009-XX-XX	Skunk	Mexico	NA	Rabies_lyssavirus
MRV	DQ875050	NA	XXXX-XX-XX	Unknown	China	1	Rabies_lyssavirus
Moscow_3253	KM198893	NA	XXXX-XX-XX	Unknown	Russia	NA	Rabies_lyssavirus
Moscow_3253__Vero_	MF630920	NA	2016-03-XX	Unknown	Russia	NA	Rabies_lyssavirus
NB.2000.4394	MF143223	NA	2000-09-12	Skunk	Canada	NA	Rabies_lyssavirus
NB.2000.5443	MF143224	NA	2000-10-31	Skunk	Canada	NA	Rabies_lyssavirus
NB.2000.5579	MF143225	NA	2000-11-07	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2000.5733	MF143226	NA	2000-11-16	Skunk	Canada	NA	Rabies_lyssavirus
NB.2000.5735	MF143227	NA	2000-11-16	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2001.0005	MF143228	NA	2001-01-02	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2001.0006	MF143229	NA	2001-01-02	Skunk	Canada	NA	Rabies_lyssavirus
NB.2001.1588	MF143230	NA	2001-04-11	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2001.3484	MF143231	NA	2001-04-26	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2001.6249	MF143232	NA	2001-06-21	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2001.9134	MF143233	NA	2001-08-22	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2002.3420	MF143234	NA	2002-05-30	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2014.0486	MF143235	NA	2014-06-02	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0046	MF143236	NA	2015-01-22	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0149	MF143237	NA	2015-03-03	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0155	MF143238	NA	2015-03-04	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0156	MF143239	NA	2015-03-04	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0183	MF143240	NA	2015-03-10	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0185	MF143241	NA	2015-03-10	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0201	MF143242	NA	2015-03-18	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0202	MF143243	NA	2015-03-18	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0207	MF143244	NA	2015-03-19	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0270	MF143245	NA	2015-04-14	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0343	MF143246	NA	2015-05-05	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0359	MF143247	NA	2015-05-07	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0583	MF143248	NA	2015-06-23	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0671	MF143249	NA	2015-07-14	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0672	MF143250	NA	2015-07-14	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0774	MF143251	NA	2015-07-29	Skunk	Canada	NA	Rabies_lyssavirus
NB.2015.0835	MF143252	NA	2015-08-06	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.0921	MF143253	NA	2015-08-18	Raccoon	Canada	NA	Rabies_lyssavirus
NB.2015.1049	MF143254	NA	2015-09-01	Raccoon	Canada	NA	Rabies_lyssavirus
NC1234	JQ685967	NA	XXXX-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
NC839	JQ685944	NA	1984-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
NH.2003.5152	MG562519	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NH.2003.5154	MG562520	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NJ.2004.1927	MG562521	NA	2004-XX-XX	Horse	USA	NA	Rabies_lyssavirus
NJ2262	JQ685919	NA	2005-XX-XX	Bat	USA	NA	Rabies_lyssavirus
NNV_RAB_H	EF437215	NA	XXXX-XX-XX	Human	India	1	Rabies_lyssavirus
NY.1990.2072	MG562523	NA	1990-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.1990.5015	MG562524	NA	1990-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.1992.0394	MG562525	NA	1992-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.1994.1330	MF143290	NA	1994-03-24	Raccoon	USA	NA	Rabies_lyssavirus
NY.1995.0364	MG562526	NA	1995-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.1995.3745	MF143291	NA	1995-07-12	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.1694	MF143292	NA	2003-05-21	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.1734	MG562527	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.1995	MF143293	NA	2003-06-06	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.2059	MG562528	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.3040	MG562529	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.7809	MF143294	NA	2003-11-24	Skunk	USA	NA	Rabies_lyssavirus
NY.2003.7854	MG562530	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.7914	MG562531	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.7917	MG562532	NA	2003-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
NY.2003.7990	MG562533	NA	2003-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.8109	MF143336	NA	2003-12-22	Raccoon	USA	NA	Rabies_lyssavirus
NY.2003.8176	MF143295	NA	2003-12-25	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.0023	MF143296	NA	2004-01-05	Skunk	USA	NA	Rabies_lyssavirus
NY.2004.0353	MF143297	NA	2004-02-06	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.1046	MG562534	NA	2004-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.1133	MF143298	NA	2004-04-21	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.1247	MG562535	NA	2004-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.1285	MF143299	NA	2004-05-04	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.1600	MF143300	NA	2004-05-20	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.1705	MG562536	NA	2004-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.1974	MF143301	NA	2004-06-03	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.2620	MG562537	NA	2004-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.2753	MF143257	NA	2004-06-30	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.4138	MG562538	NA	2004-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.4289	MF143302	NA	2004-08-04	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.4875	MF143303	NA	2004-08-13	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.5301	MF143304	NA	2004-08-18	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.5339	MG562539	NA	2004-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.6383	MG562540	NA	2004-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
NY.2004.6937	MG562541	NA	2004-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
NY.2004.6938	MF143305	NA	2004-09-17	Skunk	USA	NA	Rabies_lyssavirus
NY.2004.7916	MF143306	NA	2004-11-16	Skunk	USA	NA	Rabies_lyssavirus
NY.2004.7972	MF143307	NA	2004-11-18	Skunk	USA	NA	Rabies_lyssavirus
NY.2004.8025	MF143258	NA	2004-11-23	Raccoon	USA	NA	Rabies_lyssavirus
NY.2004.8403	MG562542	NA	2004-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.0729	MG562543	NA	2010-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.0775	MG562544	NA	2010-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
NY.2010.1066	MF143308	NA	2010-04-08	Skunk	USA	NA	Rabies_lyssavirus
NY.2010.1098	MG562545	NA	2010-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
