strain	virus	accession	date	region	country	division	location	host	source	locus	authors	url	title	journal	puburl
08Jod30	rabies	JN258564	2008-01-15	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
08Jod34	rabies	JN258560	2008-07-31	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
08Jod36	rabies	JN258561	2008-03-29	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
08Jod41	rabies	JN258562	2008-04-19	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
08L0047CAN	rabies	JN258450	2008-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
08L1328CAN	rabies	JN258449	2008-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
08L1453CAN	rabies	JN258466	2008-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
08LAT	rabies	AY277573	?	europe	latvia	latvia	latvia	unknown	genbank	genome	?	?	?	?	?
08LindoiaSP1599B	rabies	GQ160937	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08LindoiaSP191B	rabies	GQ160936	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08MariliaSP1700B	rabies	GQ160938	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08PedraBelaSP3829E	rabies	GQ160939	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
08PedregulhoSP180B	rabies	GQ160940	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08PiracaiaSP8163B	rabies	GQ160941	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08PiracaiaSP8164B	rabies	GQ160942	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08RS_1981	rabies	FJ424484	2008-10-XX	europe	italy	italy	italy	fox	genbank	genome	?	?	?	?	?
08SalesopolisSP10166B	rabies	GQ160943	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SaoJoaodaBoaVistaSP10411B	rabies	GQ160944	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SaoJoaodaBoaVistaSP10412B	rabies	GQ160945	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SaoSebastiaodaGramaSP11322B	rabies	GQ160951	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SaoSebastiaodaGramaSP4570B	rabies	GQ160946	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SaoSebastiaodaGramaSP5045B	rabies	GQ160947	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SaoSebastiaodaGramaSP5547B	rabies	GQ160948	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SaoSebastiaodaGramaSP5790E	rabies	GQ160949	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
08SaoSebastiaodaGramaSP6049B	rabies	GQ160950	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SerraNegraSP11445B	rabies	GQ160953	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SerraNegraSP2161B	rabies	GQ160952	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SocorroSP1600B	rabies	GQ160954	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08SocorroSP8677B	rabies	GQ160955	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08TresCoracoesMG1049B	rabies	GQ160956	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08V1484AL	rabies	JN258589	2008-XX-XX	north_america	usa	usa	usa	fox	genbank	genome	?	?	?	?	?
08V1485AL	rabies	JN258590	2008-XX-XX	north_america	usa	usa	usa	fox	genbank	genome	?	?	?	?	?
08V1486AL	rabies	JN258591	2008-XX-XX	north_america	usa	usa	usa	fox	genbank	genome	?	?	?	?	?
08V1488AL	rabies	JN258592	2008-XX-XX	north_america	usa	usa	usa	fox	genbank	genome	?	?	?	?	?
08VargemSP1696E	rabies	GQ160957	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
08VargemSP3395B	rabies	GQ160958	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08VargemSP4671B	rabies	GQ160959	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
08ZL01	rabies	GQ857466	2008-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
08ZL02	rabies	GQ857467	2008-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
08ZL11	rabies	GQ857468	2008-XX-XX	china	china	china	china	badger	genbank	genome	?	?	?	?	?
08ZL13	rabies	GQ857469	2008-XX-XX	china	china	china	china	badger	genbank	genome	?	?	?	?	?
09/24	rabies	JX679400	2009-XX-XX	europe	bulgaria	bulgaria	bulgaria	fox	genbank	genome	?	?	?	?	?
09/353	rabies	KP994620	2009-08-07	africa	south_africa	south_africa	south_africa	cat	genbank	genome	?	?	?	?	?
09/IRV/NCDC	rabies	MF375730	2016-XX-XX	south_asia	india	india	india	deer	genbank	genome	?	?	?	?	?
09001MAR/2003	rabies	GU798193	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09002MAR/2003	rabies	GU798409	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09003MAR/2003	rabies	GU798200	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09004MAR/2004	rabies	GU798768	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09005MAR/2004	rabies	GU798715	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09006MAR/2004	rabies	GU798156	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09007Melilla/2005	rabies	GU798532	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09008Melilla/2002	rabies	GU798246	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09009Melilla/1995	rabies	GU798247	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09010Melilla/1987	rabies	GU798448	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09011Ceuta/1991	rabies	GU798429	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09012Ceuta/2008	rabies	GU798192	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09013Melilla/1993	rabies	GU798263	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09014Melilla/1992	rabies	GU798264	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09015Melilla/1991	rabies	GU798265	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
09029NEP	rabies	JX987737	2009-XX-XX	south_asia	nepal	nepal	nepal	buffalo	genbank	genome	?	?	?	?	?
09031NEP	rabies	JX987738	2008-09-08	south_asia	nepal	nepal	nepal	dog	genbank	genome	?	?	?	?	?
09032AFG	rabies	JX987739	2009-XX-XX	west_asia	afghanistan	afghanistan	afghanistan	dog	genbank	genome	?	?	?	?	?
09035FRA	rabies	KT276359	2009-XX-XX	south_america	french_guiana	french_guiana	french_guiana	bat	genbank	genome	?	?	?	?	?
09037RCA_2009_096	rabies	KT119733	2009-02-04	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09038RCA_2009_115	rabies	KT119734	2009-02-11	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09039RCA_2009_134	rabies	KT119735	2009-02-18	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09041RCA_2009_266	rabies	KT119736	2009-04-07	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09044RCA_2009_342	rabies	KT119737	2009-05-05	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09045RCA_2009_367	rabies	KT119738	2009-05-14	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09046RCA_2009_403	rabies	KT119739	2009-05-27	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09047RCA_2009_408	rabies	KT119740	2009-05-29	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09048RCA_2009_436	rabies	KT119741	2009-06-08	africa	central_african_republic	central_african_republic	central_african_republic	cat	genbank	genome	?	?	?	?	?
09049RCA_2009_438	rabies	KT119742	2009-05-09	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09050RCA_2009_460	rabies	KT119743	2009-06-17	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09051RCA_2009_474	rabies	KT119744	2009-06-22	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09052RCA_2009_479	rabies	KT119745	2009-06-24	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09055RCA_2009_627	rabies	KT119746	2009-08-09	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
09056RCA_2009_627	rabies	KT119747	2009-08-17	africa	central_african_republic	central_african_republic	central_african_republic	goat	genbank	genome	?	?	?	?	?
09060RCA_2009_945	rabies	KT119748	2009-12-11	africa	central_african_republic	central_african_republic	central_african_republic	dog	genbank	genome	?	?	?	?	?
0963_02	rabies	GQ915431	2002-XX-XX	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
09AF19	rabies	GQ857450	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF20	rabies	GQ857451	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF21	rabies	GQ857452	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF22	rabies	GQ857453	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF23	rabies	GQ857454	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF24	rabies	GQ857455	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF25	rabies	GQ857456	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF26	rabies	GQ857457	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF27	rabies	GQ857458	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF28	rabies	GQ857459	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF29	rabies	GQ857460	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF30	rabies	GQ857461	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF31	rabies	GQ857462	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF32	rabies	GQ857463	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09AF33	rabies	GQ857464	2009-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
09Jod101	rabies	JN258565	2009-03-29	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod106	rabies	JN258566	2009-03-14	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod108	rabies	JN258567	2009-10-11	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod110	rabies	JN258568	2009-10-01	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod13	rabies	JN258583	2009-12-25	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod15	rabies	JN258584	2009-XX-XX	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod21	rabies	JN258570	2009-12-27	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod23	rabies	JN258580	2009-XX-XX	south_asia	india	india	india	buffalo	genbank	genome	?	?	?	?	?
09Jod25	rabies	JN258581	2009-05-07	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod28	rabies	JN258585	2009-XX-XX	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod32	rabies	JN258571	2009-01-30	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod41	rabies	JN258572	2009-02-03	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod56	rabies	JN258573	2009-11-26	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod65	rabies	JN258574	2009-11-13	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod83	rabies	JN258582	2009-05-16	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod89	rabies	JN258576	2009-05-24	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod92	rabies	JN258577	2009-02-12	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod95	rabies	JN258578	2009-01-20	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09Jod98	rabies	JN258579	2009-02-26	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
09N0671CAN	rabies	JN258499	2009-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
09_08	rabies	JX679399	2009-XX-XX	europe	bulgaria	bulgaria	bulgaria	fox	genbank	genome	?	?	?	?	?
09_20	rabies	JX679401	2009-XX-XX	europe	bulgaria	bulgaria	bulgaria	fox	genbank	genome	?	?	?	?	?
09_25	rabies	JX679403	2009-XX-XX	europe	bulgaria	bulgaria	bulgaria	fox	genbank	genome	?	?	?	?	?
09_41	rabies	JX679404	2009-XX-XX	europe	bulgaria	bulgaria	bulgaria	fox	genbank	genome	?	?	?	?	?
09_42	rabies	JX679406	2009-XX-XX	europe	bulgaria	bulgaria	bulgaria	fox	genbank	genome	?	?	?	?	?
09_44	rabies	JX679402	2009-XX-XX	europe	bulgaria	bulgaria	bulgaria	fox	genbank	genome	?	?	?	?	?
09_5853	rabies	JQ824885	2009-XX-XX	north_america	usa	usa	usa	bat	genbank	genome	?	?	?	?	?
10/106	rabies	KC660208	2010-02-18	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/110	rabies	KC660237	2010-02-22	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/128	rabies	KC660323	2010-03-05	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/129	rabies	KC660293	2010-03-03	africa	south_africa	south_africa	south_africa	goat	genbank	genome	?	?	?	?	?
10/146	rabies	KC660234	2010-03-12	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/153	rabies	KC660207	2010-03-21	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/154	rabies	KC660233	2010-03-21	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/155	rabies	KC660179	2010-03-19	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/157	rabies	KC660255	2010-03-20	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/164	rabies	KC660254	2010-03-22	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/167	rabies	KC660224	2010-03-22	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/168	rabies	KC660240	2010-03-25	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/173	rabies	KC660183	2010-03-23	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/175	rabies	KC660227	2010-03-26	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/183	rabies	KC660341	2010-04-02	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/184	rabies	KC660282	2010-04-02	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/188	rabies	KC660196	2010-03-29	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/195	rabies	KC660329	2010-04-13	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/2005	rabies	DQ462422	?	west_asia	russia	russia	russia	fox	genbank	genome	?	?	?	?	?
10/2005_Krasnodar	rabies	DQ468327	?	west_asia	russia	russia	russia	fox	genbank	genome	?	?	?	?	?
10/202	rabies	KC660201	2010-04-11	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/203	rabies	KC660167	2010-04-12	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/205	rabies	KC660244	2010-04-16	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/207	rabies	KC660229	2010-04-19	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/209	rabies	KC660285	2010-04-16	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/212	rabies	KC660230	2010-04-10	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/220	rabies	KC660327	2010-04-22	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/229	rabies	KC660351	2010-04-24	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/233	rabies	KC660222	2010-04-27	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/236	rabies	KC660235	2010-05-02	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/237	rabies	KC660328	2010-05-03	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/245	rabies	KC660166	2010-05-04	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/252	rabies	KC660163	2010-05-12	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/261	rabies	KC660228	2010-05-16	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/267	rabies	KC660243	2010-05-19	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/268	rabies	KC660305	2010-05-18	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/269	rabies	KC660265	2010-05-19	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/271	rabies	KC660209	2010-05-24	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/272	rabies	KC660275	2010-05-19	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/274	rabies	KC660299	2010-05-23	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/277	rabies	KC660322	2010-05-17	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/278	rabies	KC660303	2010-05-26	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/286	rabies	KC660352	2010-06-08	africa	south_africa	south_africa	south_africa	na	genbank	genome	?	?	?	?	?
10/294	rabies	KC660185	2010-06-22	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/295	rabies	KC660297	2010-06-22	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/305	rabies	KC660315	2010-06-29	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/307	rabies	KC660211	2010-06-29	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/308	rabies	KC660226	2010-06-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/309	rabies	KC660216	2010-06-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/310	rabies	KC660246	2010-07-01	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/314	rabies	KC660184	2010-07-05	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/317	rabies	KC660238	2010-07-06	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/318	rabies	KC660248	2010-07-06	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/321	rabies	KC660221	2010-07-06	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/324	rabies	KC660326	2010-07-07	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/325	rabies	KC660218	2010-07-07	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/327	rabies	KC660311	2010-07-09	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/331	rabies	KC660194	2010-07-16	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/342	rabies	KC660325	2010-07-23	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/347	rabies	KC660298	2010-07-28	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/351	rabies	KC660318	2010-07-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/352	rabies	KC660200	2010-07-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/353	rabies	KC660320	2010-07-30	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/355	rabies	KC660324	2010-08-02	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/366	rabies	KC660161	2010-08-06	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/367	rabies	KC660273	2010-08-06	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/369	rabies	KC660217	2010-08-11	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/370	rabies	KC660165	2010-08-11	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/376	rabies	KC660219	2010-08-16	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/379	rabies	KC660269	2010-08-17	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/385	rabies	KC660262	2010-08-23	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/387	rabies	KC660287	2010-08-24	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/392	rabies	KC660350	2010-08-25	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/393	rabies	KC660291	2010-08-25	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/395	rabies	KC660340	2010-08-27	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/397	rabies	KC660331	2010-08-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/400	rabies	KC660317	2010-08-31	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/401	rabies	KC660241	2010-09-01	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/410	rabies	KC660295	2010-09-06	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/420	rabies	KC660195	2010-09-13	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/425	rabies	KC660225	2010-09-14	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/440	rabies	KC660223	2010-09-22	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/441	rabies	KC660278	2010-09-23	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/445	rabies	KC660172	2010-09-27	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/447	rabies	KC660181	2010-09-27	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/452	rabies	KC660162	2010-09-29	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/453	rabies	KC660236	2010-09-29	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/456	rabies	KC660330	2010-09-29	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/458	rabies	KC660334	2010-09-30	africa	south_africa	south_africa	south_africa	goat	genbank	genome	?	?	?	?	?
10/459	rabies	KC660319	2010-09-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/460	rabies	KC660212	2010-09-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/461	rabies	KC660164	2010-09-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/462	rabies	KC660176	2010-09-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/463	rabies	KC660245	2010-09-30	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/472	rabies	KC660231	2010-10-05	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/479	rabies	KC660348	2010-10-07	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/481	rabies	KC660247	2010-10-08	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/485	rabies	KC660250	2010-10-12	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/488	rabies	KC660215	2010-10-12	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/492	rabies	KC660252	2010-10-14	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/495	rabies	KC660313	2010-10-15	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/498	rabies	KC660281	2010-10-19	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/504	rabies	KC660177	2010-10-21	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/506	rabies	KC660204	2010-10-21	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/508	rabies	KC660173	2010-10-22	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/509	rabies	KC660294	2010-10-25	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/515	rabies	KC660272	2010-10-26	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/517	rabies	KC660180	2010-10-27	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/518	rabies	KC660263	2010-10-27	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/524	rabies	KC660314	2010-10-28	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/525	rabies	KC660321	2010-10-28	africa	south_africa	south_africa	south_africa	cattle	genbank	genome	?	?	?	?	?
10/528	rabies	KC660214	2010-11-01	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/530	rabies	KC660178	2010-11-01	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/531	rabies	KC660304	2010-11-03	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/532	rabies	KC660300	2010-11-03	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/533	rabies	KC660283	2010-11-03	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
10/536	rabies	KC660169	2010-11-04	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
